,property-location,h-beds,h-baths,info-row price
351,"  Donyo Sabuk Lane, General Mathenge, Westlands", 3, 3,"KES 140,000 per month"
352,"  Westlands Area, Westlands", 3, 4,"KES 120,000 per month"
353,"  Parklands, Westlands", 4, 2,"KES 300,000 per month"
354,"  Edenville 2, Ridgeways", 4, 3,"KES 95,000 per month"
355,"  Kilimani, Dagoretti North", 3, 4,"KES 120,000 per month"
356,"  Muthaiga Area, Muthaiga", 4, 3,"KES 650,000 per month"
357,"  Kyuna, Westlands", 3, 3,"KES 400,000 per month"
358,"  Kayahwe Road, Off Dennis Pritt Road, Kilimani, Dagoretti North", 4, 4,"KES 70,000 per month"
359,"  Nairobi West, Langata", 2, 2,"KES 35,000 per month"
360,"  Mukoma Road , Karen, Langata", 4, 3,"KES 100,000 per month"
361,"  Ring Road, Kilimani, Kilimani, Dagoretti North", 2, 3,"KES 168,000 per month"
362,"  Fourways Junction Estate, Kiambu Road", 1, 3,"KES 70,000 per month"
363,"  Kilimani, Dagoretti North", 4, 3,"KES 170,000 per month"
364,"  Forest Edge Road , Karen, Langata", 4, 5,"KES 50,000 per month"
365,"  Kitisuru Redhill , Kitisuru, Westlands", 4, 6,"KES 240,000 per month"
366,"  Kitisuru Ridge Estate, Kitisuru, Westlands", 5, 4,"KES 230,000 per month"
367,"  Kyuna Crescent , Kyuna, Westlands", 3, 3,"KES 180,000 per month"
368,"  Ndovu Rd, Karen, Langata", 3, 6,"KES 120,000 per month"
369,"  Parklands, Westlands", 4, 3,"KES 70,000 per month"
370,"  Karen, Langata", 4, 3,"KES 80,000 per month"
371,"  Ngong Road, Kilimani, Dagoretti North", 5, 3,"KES 150,000 per month"
372,"  Parklands, Westlands", 1, 5,"KES 140,000 per month"
373,"  Laikipia Road, Kileleshwa, Dagoretti North", 4, 2,"KES 160,000 per month"
374,"  Kangemi, Westlands", 3, 3,"KES 110,000 per month"
375,"  Lavington, Dagoretti North", 4, 4,"KES 150,000 per month"
376,"  Mukoma, Karen, Langata", 3, 2,"KES 100,000 per month"
377,"  Loresho Ridge, Loresho, Westlands", 1, 4,"KES 85,000 per month"
378,"  Brookside Drive, Brookside, Westlands", 2, 2,"KES 165,000 per month"
379,"  Ivory Apartment, General Mathenge, Westlands", 4, 2,"KES 200,000 per month"
380,"  Kilimani, Dagoretti North", 2, 6,"KES 70,000 per month"
381,"  Brookside, Westlands", 5, 3,"KES 250,000 per month"
382,"  Batu Batu Gardens, Parklands, Westlands", 3, 4,"KES 80,000 per month"
383,"  James Gichuru , Lavington, Dagoretti North", 4, 5,"KES 255,000 per month"
384,"  Karen Dagoreti Road , Karen, Langata", 3, 2,"KES 40,000 per month"
385,"  Donyo Sabuk Ave, General Mathenge, Westlands", 3, 3,"KES 225,000 per month"
386,"  Kitisuru, Westlands", 2, 3,"KES 270,000 per month"
387,"  Westlands Area, Westlands", 5, 1,"KES 65,000 per month"
388,"  Windyridge Lane, Karen, Langata", 2, 1,"KES 250,000 per month"
389,"  Off Ruaka Road, Runda, Westlands", 2, 4,"KES 210,000 per month"
390,"  Runda, Westlands", 4, 2,"KES 260,000 per month"
391,"  Miotoni Road, Karen, Langata", 2, 4,"KES 350,000 per month"
392,"  Lamwea Road, Karen, Langata", 2, 4,"KES 90,000 per month"
393,"  Karen Shopping Centre, Karen, Langata", 2, 1,"KES 85,000 per month"
394,"  Karen, Langata", 1, 4,"KES 140,000 per month"
395,"  Kitisuru, Westlands", 1, 4,"KES 270,000 per month"
396,"  Off Ruaka Road, Runda, Westlands", 4, 6,"KES 160,000 per month"
397,"  Karen, Langata", 2, 6,"KES 85,000 per month"
398,"  Runda, Westlands", 2, 3,"KES 250,000 per month"
399,"  Donyo Sabuk Lane - Westlands , General Mathenge, Westlands", 4, 3,"KES 120,000 per month"
400,  Kiambu Road, 3, 3,"KES 160,000 per month"
401,"  Kileleshwa, Dagoretti North", 5, 2,"KES 180,000 per month"
402,"  Spring Valley, Westlands", 2, 2,"KES 300,000 per month"
403,"  North Muthaiga, Muthaiga", 2, 2,"KES 100,000 per month"
404,"  Westlands Area, Westlands", 2, 2,"KES 130,000 per month"
405,"  Westlands Area, Westlands", 2, 2,"KES 220,000 per month"
406,"  Muthaiga Parkside, North Muthaiga, Muthaiga", 3, 3,"KES 220,000 per month"
407,"  Brookside Drive, Brookside, Westlands", 2, 5,"KES 170,000 per month"
408,"  Kitisuru, Westlands", 2, 5,"KES 240,000 per month"
409,"  Kitisuru, Westlands", 2, 5,"KES 280,000 per month"
410,"  Thome, Roysambu", 3, 1,"KES 95,000 per month"
411,"  Rhapta Road, Westlands", 5, 2,"KES 120,000 per month"
412,"  Washika Road, Lavington, Dagoretti North", 1, 5,"KES 330,000 per month"
413,"  Fourways Junction Estate, Kiambu Road", 3, 5,"KES 110,000 per month"
414,"  State House, Dagoretti North", 2, 1,"KES 180,000 per month"
415,"  Mukoma Rd, Karen, Langata", 2, 2,"KES 100,000 per month"
416,"  Dennis Pritt Road, Kilimani, Dagoretti North", 2, 2,"KES 185,000 per month"
417,"  Kileleshwa, Dagoretti North", 5, 4,"KES 130,000 per month"
418,"  Runda, Westlands", 3, 1,"KES 120,000 per month"
419,"  Grand Riverside Apartment , Riverside, Westlands", 2, 4,"KES 120,000 per month"
420,"  Migaa, Kiambu Road", 2, 2,"KES 55,000 per month"
421,"  Edenville Phase Ii, Ridgeways", 2, 2,"KES 95,000 per month"
422,"  Laikipia Road, Kileleshwa, Dagoretti North", 3, 2,"KES 160,000 per month"
423,"  Off Dennis Pritt, Kileleshwa, Dagoretti North", 4, 2,"KES 135,000 per month"
424,"  Spring Valley, Westlands", 4, 6,"KES 320,000 per month"
425,"  State House Avenue, Kilimani, Dagoretti North", 2, 3,"KES 120,000 per month"
426,"  Karen, Langata", 3, 6,"KES 300,000 per month"
427,"  Kileleshwa, Dagoretti North", 1, 1,"KES 200,000 per month"
428,"  Siaya Road, Kileleshwa, Dagoretti North", 1, 6,"KES 130,000 per month"
429,"  Eldarma Ravine Close, General Mathenge, Westlands", 3, 5,"KES 120,000 per month"
430,"  Waiyaki Way, Westlands", 1, 5,"KES 170,000 per month"
431,"  General Mathenge, Westlands", 5, 5,"KES 200,000 per month"
432,"  Kilimani, Dagoretti North", 4, 4,"KES 150,000 per month"
433,"  State House, Dagoretti North", 6, 2,"KES 150,000 per month"
434,"  Nyari, Westlands", 3, 2,"KES 180,000 per month"
435,"  State House, Dagoretti North", 3, 4,"KES 170,000 per month"
436,"  Chaka Road, Kilimani, Dagoretti North", 3, 2,"KES 250,000 per month"
437,"  State House, Dagoretti North", 3, 3,"KES 140,000 per month"
438,"  State House, Dagoretti North", 1, 4,"KES 260,000 per month"
439,"  Spring Valley, Westlands", 3, 1,"KES 150,000 per month"
440,"  Fourways Junction , Ridgeways", 2, 1,"KES 90,000 per month"
441,"  Ojijo Close, Westlands Area, Westlands", 2, 1,"KES 90,000 per month"
442,"  Lavington, Dagoretti North", 1, 3,"KES 250,000 per month"
443,  Kiambu Road, 4, 4,"KES 90,000 per month"
444,"  Westlands Near Sarit, Westlands Area, Westlands", 2, 2,"KES 130,000 per month"
445,"  Rhapta Road, Westlands", 3, 7,"KES 190,000 per month"
446,"  Runda, Westlands", 1, 5,"KES 262,500 per month"
447,"  Argwings Kodhek , Kilimani, Dagoretti North", 3, 5,"KES 150,000 per month"
448,"  Nyari, Westlands", 3, 4,"KES 300,000 per month"
449,"  Runda, Westlands", 3, 7,"KES 300,000 per month"
450,"  Oloitoktok Road, Kileleshwa, Dagoretti North", 4, 3,"KES 85,000 per month"
451,"  Brookside, Westlands", 3, 3,"KES 180,000 per month"
452,"  Kitale Lane, Kilimani, Dagoretti North", 2, 3,"KES 120,000 per month"
453,"  Kangemi, Westlands", 2, 2,"KES 110,000 per month"
454,"  Kilimani, Dagoretti North", 3, 2,"KES 170,000 per month"
455,"  Waiyaki Way, Westlands", 3, 6,"KES 80,000 per month"
456,"  Lavington, Dagoretti North", 2, 3,"KES 300,000 per month"
457,"  Kitisuru Road, Kitisuru, Westlands", 4, 3,"KES 270,000 per month"
458,"  Marist Lane, Karen, Langata", 3, 4,"KES 20,000 per month"
459,"  Runda, Westlands", 2, 2,"KES 350,000 per month"
460,"  Riverside, Westlands", 2, 6,"KES 180,000 per month"
461,"  Riverside, Westlands", 3, 4,"KES 220,000 per month"
462,"  Hurlingham, Dagoretti North", 3, 3,"KES 100,000 per month"
463,"  Off Riverside Dr, Riverside, Westlands", 3, 3,"KES 130,000 per month"
464,"  Stima Lane Westlands, Westlands Area, Westlands", 3, 4,"KES 70,000 per month"
465,"  General Mathenge, Westlands", 3, 3,"KES 130,000 per month"
466,"  Kilimani, Dagoretti North", 3, 4,"KES 200,000 per month"
467,"  Thompson Masanduku, Lavington, Dagoretti North", 4, 3,"KES 130,000 per month"
468,"  Ngong Road, Kilimani, Dagoretti North", 4, 3,"KES 90,000 per month"
469,"  Kitisuru Road , Kitisuru, Westlands", 5, 3,"KES 280,000 per month"
470,"  Rhapta Road, Westlands", 4, 3,"KES 200,000 per month"
471,"  Off Riara Rd, Riara Road, Dagoretti North", 3, 2,"KES 140,000 per month"
472,"  Mbagathi Way, Next To Akila Estate, Highrise, Dagoretti South", 5, 3,"KES 20,000 per month"
473,"  Along Statehouse Road, State House, Dagoretti North", 3, 3,"KES 190,000 per month"
474,"  Riverside, Westlands", 2, 5,"KES 225,000 per month"
475,"  Riverside, Westlands", 1, 5,"KES 160,000 per month"
476,"  Mukoma Estate, Karen, Langata", 3, 6,"KES 220,000 per month"
477,"  Riverside Drive, Riverside, Westlands", 4, 3,"KES 130,000 per month"
478,"  Karen Langata Road , Karen, Langata", 5, 3,"KES 40,000 per month"
479,"  Kilimani, Nairobi, Kilimani, Dagoretti North", 3, 6,"KES 200,000 per month"
480,"  3Rd Parklands , Parklands, Westlands", 2, 2,"KES 130,000 per month"
481,"  Mahiga Mairu Avenue, Westlands Area, Westlands", 3, 5,"KES 120,000 per month"
482,"  Simba Hill, Nairobi Hardy, Langata", 3, 1,"KES 160,000 per month"
483,"  1St Parklands - Ita Road , Parklands, Westlands", 1, 2,"KES 125,000 per month"
484,"  Riverside, Westlands", 3, 3,"KES 180,000 per month"
485,"  Parklands, Westlands", 2, 6,"KES 70,000 per month"
486,"  Dennis Pritt Road, Kilimani, Dagoretti North", 3, 3,"KES 230,000 per month"
487,"  1St Avenue Parklands , Parklands, Westlands", 5, 1,"KES 250,000 per month"
488,"  Forest Lane , Parklands, Westlands", 3, 2,"KES 95,000 per month"
489,"  Hurlingham, Dagoretti North", 5, 8,"KES 180,000 per month"
490,"  Lavington, Dagoretti North", 4, 3,"KES 180,000 per month"
491,"  Riara Road, Lavington, Dagoretti North", 5, 2,"KES 100,000 per month"
492,"  Lavington, Dagoretti North", 4, 1,"KES 150,000 per month"
493,"  Karen, Langata", 1, 1,"KES 240,000 per month"
494,"  Muthangari Drive - Waiyaki Way , Waiyaki Way, Westlands", 3, 3,"KES 290,250 per month"
495,"  Four Ways Junction, Kiambu Road", 3, 3,"KES 106,000 per month"
496,"  Riara Road, Dagoretti North", 1, 4,"KES 200,000 per month"
497,"  Waiyaki Way, Mountain View, Westlands", 2, 2,"KES 200,000 per month"
498,"  Riverside, Westlands", 4, 2,"KES 280,000 per month"
499,"  North Muthaiga, Muthaiga", 2, 2,"KES 450,000 per month"
500,"  Riara Road, Dagoretti North", 2, 2,"KES 170,000 per month"
501,"  Lobellia Drive, Gigiri, Nairobi , Gigiri, Westlands", 4, 2,"KES 190,000 per month"
502,"  Church Road, Westlands, Westlands Area, Westlands", 3, 2,"KES 120,000 per month"
503,"  Off Riverside Drive, Riverside, Westlands", 3, 2,"KES 150,000 per month"
504,  Mombasa Road, 1, 1,"KES 236,800 per month"
505,"  Kenyatta Highway , Thika Road", 4, 3,"KES 46,800 per month"
506,"  Fourways Junction Estate, Kiambu Road", 4, 3,"KES 170,000 per month"
507,  Mombasa Road, 4, 5,"KES 400,000 per month"
508,"  Naivasha Avenue, Old Muthaiga, Muthaiga", 5, 4,"KES 550,000 per month"
509,"  Kilimani, Dagoretti North", 2, 4,"KES 70,000 per month"
510,"  Riverside, Westlands", 2, 6,"KES 100,000 per month"
511,"  Muthangari Drive - Waiyaki Way , Waiyaki Way, Westlands", 3, 1,"KES 631,680 per month"
512,"  Woodvale Grove - Westlands, Westlands Area, Westlands", 2, 3,"KES 80,000 per month"
513,"  Westlands Area, Westlands", 3, 4,"KES 130,000 per month"
514,"  6Th Avenue, Parklands, Westlands", 3, 2,"KES 180,000 per month"
515,"  Off Rhapta Road., Westlands Area, Westlands", 3, 4,"KES 150,000 per month"
516,  Thika Road, 3, 2,"KES 120,000 per month"
517,"  Riverside, Westlands", 7, 3,"KES 150,000 per month"
518,"  Fourways Junction Estate, Kiambu Road", 5, 2,"KES 70,000 per month"
519,"  Lavington, Dagoretti North", 2, 4,"KES 250,000 per month"
520,  Thika Road, 6, 3,"KES 120,000 per month"
521,"  Peponi Grove , Westlands Area, Westlands", 6, 4,"KES 220,000 per month"
522,"  Lavington, Dagoretti North", 5, 1,"KES 170,000 per month"
523,"  Lavington, Dagoretti North", 5, 3,"KES 200,000 per month"
524,  Ridgeways, 5, 2,"KES 120,000 per month"
525,"  Crimson Court Along Riverside Drive, Riverside, Westlands", 1, 3,"KES 90,000 per month"
526,"  Riverside, Westlands", 3, 4,"KES 15,000 per day"
527,"  Kilimani, Dagoretti North", 4, 3,"KES 150,000 per month"
528,"  Karen Langata Road , Karen, Langata", 5, 2,"KES 18,000 per month"
529,"  Kilimani, Dagoretti North", 2, 2,"KES 200,000 per month"
530,"  Karen, Langata", 4, 3,"KES 300,000 per month"
531,"  Kilimani, Dagoretti North", 4, 2,"KES 250,000 per month"
532,"  Kileleshwa, Dagoretti North", 3, 5,"KES 130,000 per month"
533,  Kiambu Road, 4, 2,"KES 120,000 per month"
534,"  Kilimani, Dagoretti North", 2, 3,"KES 210,000 per month"
535,"  Peponi, Parklands, Westlands", 6, 2,"KES 350,000 per month"
536,"  Milimani Rd Nass Dr, Kilimani, Dagoretti North", 4, 1,"KES 60,000 per month"
537,"  Lavington, Dagoretti North", 4, 6,"KES 150,000 per month"
538,"  Athi River - Off Mombasa Road , Mombasa Road", 2, 1,"KES 70,000 per month"
539,"  Bogani Road , Karen, Langata", 4, 6,"KES 300,000 per month"
540,"  Windy Ridge. , Karen, Langata", 2, 1,"KES 400,000 per month"
541,"  Kirichwa Road, Kilimani, Dagoretti North", 2, 3,"KES 160,000 per month"
542,"  Kiambere Rd, Upperhill, Nairobi , Upper Hill, Langata", 3, 4,"KES 360,000 per month"
543,"  Loresho, Westlands", 3, 3,"KES 100,000 per month"
544,"  Kileleshwa, Dagoretti North", 2, 4,"KES 155,000 per month"
545,  Ridgeways, 5, 4,"KES 120,000 per month"
546,"  Mwanzi Road, Next Ring Road Parklands, Westlands Area, Westlands", 2, 2,"KES 600,000 per month"
547,"  Garden Estate, Roysambu", 4, 2,"KES 250,000 per month"
548,"  Peponi, Westlands Area, Westlands", 4, 2,"KES 270,000 per month"
549,"  Mpaka Roa, Westlands Area, Westlands", 4, 3,"KES 500,000 per month"
550,"  Windy Ridge, Karen, Langata", 3, 2,"KES 230,000 per month"
551,"  Nairobi West, Langata", 1, 3,"KES 58,000 per month"
552,"  Olenguroni Road , Kileleshwa, Dagoretti North", 5, 2,"KES 700,000 per month"
553,"  Lavington, Dagoretti North", 4, 3,"KES 350,000 per month"
554,"  Ngong View Estate, Karen, Langata", 5, 3,"KES 200,000 per month"
555,"  Riara Road, Lavington, Dagoretti North", 4, 3,"KES 190,000 per month"
556,"  Lavington, Dagoretti North", 1, 2,"KES 190,000 per month"
557,"  Along Kaputei Road Off Othaya Road, Lavington, Dagoretti North", 4, 3,"KES 250,000 per month"
558,"  Lavington, Dagoretti North", 3, 4,"KES 225,000 per month"
559,"  Lavington, Dagoretti North", 3, 2,"KES 200,000 per month"
560,"  Miotoni Road , Karen, Langata", 2, 3,"KES 70,000 per month"
561,"  South C, Langata", 4, 3,"KES 60,000 per month"
562,"  Lavington, Dagoretti North", 2, 2,"KES 220,000 per month"
563,"  Runda, Westlands", 5, 5,"KES 300,000 per month"
564,"  Runda, Westlands", 4, 2,"KES 100,000 per month"
565,"  Likoni Lane, Kileleshwa, Dagoretti North", 5, 5,"KES 135,000 per month"
566,  Kiambu Road, 2, 6,"KES 95,000 per month"
567,  Ngong Road, 3, 4,"KES 95,000 per month"
568,"  Kilimani, Dagoretti North", 4, 6,"KES 200,000 per month"
569,"  Spring Valley, Westlands", 4, 4,"KES 190,000 per month"
570,"  Wood Avenue, Kilimani, Dagoretti North", 1, 4,"KES 130,000 per month"
571,"  Lavington, Dagoretti North", 1, 5,"KES 190,000 per month"
572,"  General Mathenge Drive, Spring Valley, Westlands", 4, 3,"KES 170,000 per month"
573,"  Donyo Sabuk, General Mathenge, Westlands", 1, 4,"KES 180,000 per month"
574,"  Runda, Westlands", 4, 4,"KES 100,000 per month"
575,"  Forest Edge Road, Karen, Langata", 4, 3,"KES 225,000 per month"
576,"  Ringroad , Parklands, Westlands", 2, 5,KES 160 per month
577,"  Runda, Westlands", 3, 5,"KES 120,000 per month"
578,"  Riara Road, Dagoretti North", 6, 5,"KES 150,000 per month"
579,  Kiambu Road, 2, 2,"KES 85,000 per month"
580,"  Kilimani, Dagoretti North", 4, 4,"KES 180,000 per month"
581,"  Loresho, Westlands", 4, 3,"KES 55,000 per month"
582,"  Lavington, Dagoretti North", 4, 2,"KES 420,000 per month"
583,"  Riverside, Westlands", 4, 3,"KES 170,000 per month"
584,"  Runda, Westlands", 5, 3,"KES 200,000 per month"
585,"  Lake View, Westlands", 2, 3,"KES 300,000 per month"
586,"  Muthaiga, Old Muthaiga, Muthaiga", 4, 4,"KES 500,000 per month"
587,"  Industrial Area, Embakasi North", 3, 2,"KES 356,400 per month"
588,"  Rhapta Road, Westlands", 4, 5,"KES 150,000 per month"
589,"  Denis Pritt Road, Kilimani, Dagoretti North", 6, 4,"KES 120,000 per month"
590,"  Lavington, Dagoretti North", 4, 5,"KES 250,000 per month"
591,"  Narayan Road , Parklands, Westlands", 4, 3,"KES 240,000 per month"
592,"  Karen, Langata", 2, 4,"KES 150,000 per month"
593,  Ngong Road, 3, 2,"KES 420,000 per month"
594,  Ridgeways, 3, 3,"KES 300,000 per month"
595,"  Lavington, Dagoretti North", 2, 3,"KES 400,000 per month"
596,"  Off Oloitoktok Road, Kileleshwa, Dagoretti North", 4, 3,"KES 70,000 per month"
597,"  Shelter-Afrique House, Kilimani, Dagoretti North", 4, 3,"KES 34,939 per month"
598,"  Lavington, Dagoretti North", 1, 3,"KES 350,000 per month"
599,"  Langata Area, Langata", 5, 3,"KES 60,000 per month"
600,"  Jirore Road, Industrial Area, Industrial Area, Embakasi North", 2, 4,"KES 370,000 per month"
601,"  Karen, Langata", 2, 2,"KES 45,000 per month"
602,"  Laikipia Road, Kileleshwa, Dagoretti North", 5, 2,"KES 85,000 per month"
603,"  36 Bombax Close, Nairobi, Runda, Westlands, Runda, Westlands", 4, 2,"KES 250,000 per month"
604,"  Kileleshwa, Dagoretti North", 6, 3,"KES 130,000 per month"
605,"  Runda, Westlands", 1, 5,"KES 420,000 per month"
606,"  Runda, Westlands", 4, 4,"KES 420,000 per month"
607,"  Muthaiga Area, Muthaiga", 4, 5,"KES 350,000 per month"
608,"  South B, Langata", 4, 3,"KES 38,000 per month"
609,"  Kilimani, Dagoretti North", 3, 3,"KES 300,000 per month"
610,"  Westlands Area, Westlands", 5, 2,"KES 180,000 per month"
611,"  Peponi, Parklands, Westlands", 4, 1,"KES 240,000 per month"
612,"  Riverside Drive, Riverside, Westlands", 3, 3,"KES 125,000 per month"
613,"  Karen, Langata", 3, 5,"KES 45,000 per month"
614,"  Lower Kabete, Westlands", 3, 3,"KES 300,000 per month"
615,"  Westlands Area, Westlands", 3, 1,"KES 120,000 per month"
616,"  Loresho, Westlands", 3, 2,"KES 290,000 per month"
617,"  Off Redhill Bypass (Kitisuru Rigde), Kitisuru, Westlands", 3, 3,"KES 220,000 per month"
618,  Ridgeways, 3, 2,"KES 70,000 per month"
619,"  Peponi, Parklands, Westlands", 3, 5,"KES 250,000 per month"
620,"  Runda, Westlands", 3, 5,"KES 350,000 per month"
621,"  Runda, Westlands", 3, 2,"KES 190,000 per month"
622,"  Runda, Westlands", 4, 5,"KES 400,000 per month"
623,"  Runda, Westlands", 2, 3,"KES 250,000 per month"
624,"  Runda, Westlands", 5, 5,"KES 250,000 per month"
625,"  Lavington, Dagoretti North", 4, 2,"KES 330,000 per month"
626,"  Lower Kabete, Westlands", 5, 4,"KES 400,000 per month"
627,"  Highridge, Parklands, Westlands", 5, 3,"KES 50,000 per month"
628,"  Kileleshwa, Dagoretti North", 2, 2,"KES 150,000 per month"
629,"  Nyari, Westlands", 2, 7,"KES 350,000 per month"
630,"  South B, Langata", 6, 4,"KES 80,000 per month"
631,"  Kileleshwa, Dagoretti North", 1, 4,"KES 180,000 per month"
632,  Kiambu Road, 5, 5,"KES 100,000 per month"
633,"  Clanson Court, Muthaiga Area, Muthaiga", 1, 4,"KES 300,000 per month"
634,"  Near Bellevue , South B, Langata", 4, 5,"KES 40,000 per month"
635,"  Riverside Drive, Riverside, Westlands", 1, 2,"KES 140,000 per month"
636,"  Masaba Road, Upper Hill, Langata", 2, 4,"KES 165,000 per month"
637,"  Rosslyn, Westlands", 3, 5,"KES 250,000 per month"
638,"  Peponi Road, Kitisuru, Westlands", 5, 2,"KES 210,000 per month"
639,"  Grevillea Grove, Westlands Area, Westlands", 3, 3,"KES 280,000 per month"
640,"  Lavington, Dagoretti North", 3, 3,"KES 200,000 per month"
641,"  Runda, Westlands", 3, 4,"KES 90,000 per month"
642,"  Runda, Westlands", 3, 4,"KES 350,000 per month"
643,"  Lower Kabete, Kilimani, Dagoretti North", 2, 5,"KES 95,000 per month"
644,"  Wood Avenue, Kilimani, Dagoretti North", 5, 5,"KES 150,000 per month"
645,"  Kyuna, Westlands", 2, 5,"KES 250,000 per month"
646,"  Runda, Westlands", 3, 4,"KES 250,000 per month"
647,"  Upper Hill, Langata", 1, 4,"KES 448,000 per month"
648,"  Lavington, Dagoretti North", 3, 4,"KES 190,000 per month"
649,"  South B, Langata", 3, 4,"KES 40,000 per month"
650,"  Aboretum Drive, Riverside, Westlands", 3, 4,"KES 190,000 per month"
651,"  Rosslyn, Westlands", 4, 1,"KES 300,000 per month"
652,"  Riverside Drive, Riverside, Westlands", 2, 4,"KES 220,000 per month"
653,"  Mugoiri Road, Kileleshwa, Dagoretti North", 4, 4,"KES 130,000 per month"
654,"  Kilimani, Dagoretti North", 3, 4,"KES 200,000 per month"
655,"  Lavington, Dagoretti North", 3, 2,"KES 380,000 per month"
656,"  Kilimani, Dagoretti North", 4, 8,"KES 180,000 per month"
657,"  Vihiga Road, Kileleshwa, Dagoretti North", 3, 4,"KES 200,000 per month"
658,"  Riverside, Westlands", 4, 5,"KES 220,000 per month"
659,"  Church Road, Parklands, Westlands", 3, 4,"KES 140,000 per month"
660,"  Riverside, Westlands", 2, 4,"KES 160,000 per month"
661,"  Kileleshwa, Dagoretti North", 2, 4,"KES 220,000 per month"
662,"  Kileleshwa, Dagoretti North", 1, 4,"KES 200,000 per month"
663,"  Kileleshwa, Dagoretti North", 3, 2,"KES 120,000 per month"
664,"  Argwings Kodhek Road, Kilimani, Dagoretti North", 3, 4,"KES 90,000 per month"
665,"  Riverside, Westlands", 5, 4,"KES 250,000 per month"
666,"  Westlands Area, Westlands", 5, 3,"KES 300,000 per month"
667,"  Kileleshwa, Dagoretti North", 4, 3,"KES 170,000 per month"
668,"  Lower Kabete, Westlands", 5, 1,"KES 420,000 per month"
669,  Kiambu Road, 1, 5,"KES 250,000 per month"
670,"  Mokoyeti West Road , Karen, Langata", 3, 4,"KES 230,000 per month"
671,"  Kilimani, Dagoretti North", 4, 2,"KES 10,000 per day"
672,"  Runda, Westlands", 2, 3,"KES 350,000 per month"
673,"  Imara Daima, Embakasi South", 3, 4,"KES 35,000 per month"
674,"  Tabere Cresent Road, Kileleshwa, Dagoretti North", 3, 3,"KES 125,000 per month"
675,"  Westlands, Parklands, Westlands", 3, 7,"KES 600,000 per month"
676,"  Lavington, Dagoretti North", 3, 1,"KES 190,000 per month"
677,"  Milimani Rd Nass Dr, Kilimani, Dagoretti North", 4, 5,"KES 67,000 per month"
678,"  Runda, Westlands", 3, 3,"KES 350,000 per month"
679,"  Evergreen Court, Utawala, Embakasi East", 3, 5,"KES 15,000 per month"
680,"  Mimosa Road, Runda, Westlands", 4, 3,"KES 400,000 per month"
681,"  Lavington, Dagoretti North", 1, 4,"KES 100,000 per month"
682,"  Riara Road, Kilimani, Dagoretti North", 2, 5,"KES 160,000 per month"
683,"  Kilimani, Dagoretti North", 3, 4,"KES 130,000 per month"
684,"  Lavington, Dagoretti North", 1, 2,"KES 300,000 per month"
685,"  Riverside, Westlands", 2, 5,"KES 180,000 per month"
686,"  Mlolongo - Mombasa Road , Mombasa Road", 3, 3,"KES 161,475 per month"
687,"  Kilimani, Dagoretti North", 4, 4,"KES 200,000 per month"
688,"  Taarifa Road, Westlands Area, Westlands", 2, 3,"KES 160,000 per month"
689,"  Ruai, Kasarani", 2, 4,"KES 180,000 per month"
690,"  Muhoya Avenue, Lavington, Dagoretti North", 3, 4,"KES 220,000 per month"
691,"  Mombasa Road , Embakasi, Embakasi East", 4, 4,"KES 343,534 per month"
692,"  Rhapta Road, Westlands Area, Westlands", 3, 6,"KES 250,000 per month"
693,"  Mombasa Road, Industrial Area, Embakasi North", 3, 5,"KES 200,000 per month"
694,"  Convent , Lavington, Dagoretti North", 2, 1,"KES 350,000 per month"
695,  Thika Road, 5, 3,"KES 120,000 per month"
696,"  Spring Valley, Westlands", 2, 4,"KES 190,000 per month"
697,  Ngong Road, 3, 3,"KES 130,000 per month"
698,"  Gitanga Road, Lavington, Dagoretti North", 2, 3,"KES 120,000 per month"
699,"  Ngara, Starehe", 1, 4,"KES 38,000 per month"
700,"  Lusaka Rd, Industrial Area, Embakasi North", 5, 3,"KES 172,260 per month"
701,"  Shelter-Afrique House, Kilimani, Dagoretti North", 1, 2,"KES 356,491 per month"
702,"  Loresho, Westlands", 4, 5,"KES 85,000 per month"
703,"  Church Road Wells Apartments, Westlands Area, Westlands", 1, 3,"KES 115,000 per month"
704,"  Lavington, Dagoretti North", 4, 4,"KES 220,000 per month"
705,  Mombasa Road, 3, 4,"KES 350,000 per month"
706,"  Off Ojijo , Westlands Area, Westlands", 3, 3,"KES 52,000 per month"
707,"  Westlands Area, Westlands", 3, 4,"KES 200,000 per month"
708,"  King'ara Road , Lavington , Lavington, Dagoretti North", 3, 5,"KES 65,000 per month"
709,"  Westlands Area, Westlands", 4, 3,"KES 150,000 per month"
710,"  Mumwe Garden, Runda, Westlands", 3, 2,"KES 300,000 per month"
711,"  Lavington, Dagoretti North", 2, 3,"KES 70,000 per month"
712,"  Runda, Westlands", 3, 3,"KES 270,000 per month"
713,"  Off Gitanga Road, Lavington, Dagoretti North", 2, 5,"KES 120,000 per month"
714,"  Karen - Dagoretti Road , Karen, Langata", 2, 3,"KES 70,000 per month"
715,  Mombasa Road, 3, 3,"KES 41,000 per month"
716,  Mombasa Road, 5, 2,"KES 200,000 per month"
717,"  Milimani, Kilimani, Dagoretti North", 5, 4,"KES 130,000 per month"
718,"  Kileleshwa, Near Kasuku Centre, Kileleshwa, Dagoretti North", 2, 6,"KES 40,000 per month"
719,"  Donyo Sabuk Avenue,, General Mathenge, Westlands", 3, 4,"KES 115,000 per month"
720,"  Mandera, Kileleshwa, Dagoretti North", 3, 2,"KES 260,000 per month"
